"","Author","Year","Title","Journal","Volume","Issue","Pages"
"75900","Brandt, P., Ernst, A., Gralla, F., Luederitz, C., Lang, D. J., Newig, J., Reinert, F., Abson, D. J. and von Wehrden, H.",2013,"A review of transdisciplinary research in sustainability science","Ecological Economics","92"," ","1-15"
"49510","Wiens, J. A.",2008,"Allerton Park 1983: the beginnings of a paradigm for landscape ecology?","Landscape Ecology","23"," 2 ","125-128"
"37762","Baker, J. D. and Johanos, T. C.",2004,"Abundance of the Hawaiian monk seal in the main Hawaiian Islands","Biological Conservation","116","1","103-110"
"60719","Gabriel, D., Sait, S. M., Hodgson, J. A., Schmutz, U., Kunin, W. E. and Benton, T. G.",2010,"Scale matters: the impact of organic farming on biodiversity at different spatial scales","Ecology Letters","13"," 7 ","858-869"
"44571","de Sassi, C., Muller, C. B. and Krauss, J.",2006,"Fungal plant endosymbionts alter life history and reproductive success of aphid predators","Proceedings of the Royal Society B-Biological Sciences","273","1591","1301-1306"
"43973","Hansen, A. H., Jonasson, S., Michelsen, A. and Julkunen-Tiitto, R.",2006,"Long-term experimental warming, shading and nutrient addition affect the concentration of phenolic compounds in arctic-alpine deciduous and evergreen dwarf shrubs","Oecologia","147","1","01-Nov"
"65055","Gross, K. and Rosenheim, J. A.",2011,"Quantifying secondary pest outbreaks in cotton and their monetary cost with causal-inference statistics","Ecological Applications","21"," 7 ","2770-2780"
"48049","Gotthard, K., Berger, D. and Walters, R.",2007,"What keeps insects small? Time limitation during oviposition reduces the fecundity benefit of female size in a butterfly","American Naturalist","169"," 6 ","768-779"
"65059","Grol, M. G. G., Nagelkerken, I., Rypel, A. L. and Layman, C. A.",2011,"Simple ecological trade-offs give rise to emergent cross-ecosystem distributions of a coral reef fish","Oecologia","165"," 1 ","79-88"
"58633","Sato, K., Shiomi, K., Watanabe, Y., Watanuki, Y., Takahashi, A. and Ponganis, P. J.",2010,"Scaling of swim speed and stroke frequency in geometrically similar penguins: they swim optimally to minimize cost of transport","Proceedings of the Royal Society B-Biological Sciences","277"," 1682 ","707-714"
"59189","Oehler, F., Rutherford, J. C. and Coco, G.",2010,"The use of machine learning algorithms to design a generalized simplified denitrification model","Biogeosciences","7"," 10 ","3311-3332"
"56596","Ellison, K.",2009,"Ecosystem services - out of the wilderness?","Frontiers in Ecology and the Environment","7"," 1 ","60-60"
"39130","Palen, W. J., Williamson, C. E., Clauser, A. A. and Schindler, D. E.",2005,"Impact of UV-B exposure on amphibian embryos: linking species physiology and oviposition behaviour","Proceedings of the Royal Society B-Biological Sciences","272","1569","1227-1234"
"62250","White, P. J., Wallen, R. L., Geremia, C., Treanor, J. J. and Blanton, D. W.",2011,"Management of Yellowstone bison and brucellosis transmission risk - Implications for conservation and restoration","Biological Conservation","144"," 5 ","1322-1334"
"67357","Stearns, S. C.",2012,"Evolutionary medicine: its scope, interest and potential","Proceedings of the Royal Society B-Biological Sciences","279"," 1746 ","4305-4321"
"37642","Bienen, L.",2004,"Invasion by mail","Frontiers in Ecology and the Environment","2","1","06-Jun"
"73301","Morrien, E. and van der Putten, W. H.",2013,"Soil microbial community structure of range-expanding plant species differs from co-occurring natives","Journal of Ecology","101"," 5 ","1093-1102"
"39788","Kon, H., Noda, T., Terazawa, K., Koyama, H. and Yasaka, M.",2005,"Evolutionary advantages of mast seeding in Fagus crenata","Journal of Ecology","93","6","1148-1155"
"37444","Cameron, E. Z.",2004,"Facultative adjustment of mammalian sex ratios in support of the Trivers-Willard hypothesis: evidence for a mechanism","Proceedings of the Royal Society B-Biological Sciences","271","1549","1723-1728"
"46430","Rasmussen, K., Palacios, D. M., Calambokidis, J., Saborio, M. T., Dalla Rosa, L., Secchi, E. R., Steiger, G. H., Allen, J. M. and Stone, G. S.",2007,"Southern Hemisphere humpback whales wintering off Central America: insights from water temperature into the longest mammalian migration","Biology Letters","3"," 3 ","302-305"
"73015","Patino, J., Bisang, I., Hedenas, L., Dirkse, G., Bjarnason, A. H., Ah-Peng, C. and Vanderpoorten, A.",2013,"Baker's law and the island syndromes in bryophytes","Journal of Ecology","101"," 5 ","1245-1255"
