"","Author","Year","Title","Journal","Volume","Issue","Pages"
"47030","McGhee, K. E., Fuller, R. C. and Travis, J.",2007,"Male competition and female choice interact to determine mating success in the bluefin killifish","Behavioral Ecology","18"," 5 ","822-830"
"70478","Cramer, M. D.",2012,"Unravelling the limits to tree height: a major role for water and nutrient trade-offs","Oecologia","169"," 1 ","61-72"
"55797","Ji, X., Du, W. G., Qu, Y. F. and Lin, L. H.",2009,"Nonlinear continuum of egg size-number trade-offs in a snake: is egg-size variation fitness related?","Oecologia","159"," 4 ","689-696"
"58053","van Ruijven, J. and Berendse, F.",2010,"Diversity enhances community recovery, but not resistance, after drought","Journal of Ecology","98"," 1 ","81-86"
"70707","Cahenzli, F. and Erhardt, A.",2012,"Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies","Oecologia","169"," 4 ","1005-1014"
"39963","Jerde, C. L. and Visscher, D. R.",2005,"GPS measurement error influences on movement model parameterization","Ecological Applications","15","3","806-810"
"59952","Krkosek, M.",2010,"Sea lice and salmon in Pacific Canada: ecology and policy","Frontiers in Ecology and the Environment","8"," 4 ","201-209"
"38587","Sergio, F., Blas, J., Forero, M., Fernandez, N., Donazar, J. A. and Hiraldo, F.",2005,"Preservation of wide-ranging top predators by site-protection: Black and red kites in Donana National Park","Biological Conservation","125","1","Nov-21"
"72280","Skinner, R. H.",2013,"Nitrogen fertilization effects on pasture photosynthesis, respiration, and ecosystem carbon content","Agriculture Ecosystems & Environment","172"," ","35-41"
"40976","Champ, P. A., Alberini, A. and Correas, I.",2005,"Using contingent valuation to value a noxious weeds control program: the effects of including an unsure response category","Ecological Economics","55","1","47-60"
"50833","Neuhofer, D., Wohlgemuth, S., Stumpner, A. and Ronacher, B.",2008,"Evolutionarily conserved coding properties of auditory neurons across grasshopper species","Proceedings of the Royal Society B-Biological Sciences","275"," 1646 ","1965-1974"
"75094","Fallow, P. M., Pitcher, B. J. and Magrath, R. D.",2013,"Alarming features: birds use specific acoustic properties to identify heterospecific alarm calls","Proceedings of the Royal Society B-Biological Sciences","280"," 1754 ",""
"52099","Gillespie, D. O. S., Russell, A. F. and Lummaa, V.",2008,"When fecundity does not equal fitness: evidence of an offspring quantity versus quality trade-off in pre-industrial humans","Proceedings of the Royal Society B-Biological Sciences","275"," 1635 ","713-722"
"74194","Kaeriyama, H., Ambe, D., Shimizu, Y., Fujimoto, K., Ono, T., Yonezaki, S., Kato, Y., Matsunaga, H., Minami, H., Nakatsuka, S. and Watanabe, T.",2013,"Direct observation of Cs-134 and Cs-137 in surface seawater in the western and central North Pacific after the Fukushima Dai-ichi nuclear power plant accident","Biogeosciences","10"," 6 ","4287-4295"
"38918","Radeloff, V. C., Hammer, R. B. and Stewart, S. I.",2005,"Rural and suburban sprawl in the US Midwest from 1940 to 2000 and its relation to forest fragmentation","Conservation Biology","19","3","793-805"
"41592","Wolfe, B. E., Weishampel, P. A. and Klironomos, J. N.",2006,"Arbuscular mycorrhizal fungi and water table affect wetland plant community composition","Journal of Ecology","94","5","905-914"
"43816","Holway, D. A. and Suarez, A. V.",2006,"Homogenization of ant communities in mediterranean California: The effects of urbanization and invasion","Biological Conservation","127","3","319-326"
"44851","Caccianiga, M., Luzzaro, A., Pierce, S., Ceriani, R. M. and Cerabolini, B.",2006,"The functional basis of a primary succession resolved by CSR classification","Oikos","112","1","Oct-20"
"39475","McCann, L., Colby, B., Easter, K. W., Kasterine, A. and Kuperan, K. V.",2005,"Transaction cost measurement for evaluating environmental policies","Ecological Economics","52","4","527-542"
"73945","Land, P. E., Shutler, J. D., Cowling, R. D., Woolf, D. K., Walker, P., Findlay, H. S., Upstill-Goddard, R. C. and Donlon, C. J.",2013,"Climate change impacts on sea-air fluxes of CO2 in three Arctic seas: a sensitivity study using Earth observation","Biogeosciences","10"," 12 ","8109-8128"
"40374","Gewin, V.",2005,"Grazing raises land-use debate","Frontiers in Ecology and the Environment","3","10","523-523"
"52143","Gattermann, R., Johnston, R. E., Yigit, N., Fritzsche, P., Larimer, S., Ozkurt, S., Neumann, K., Song, Z., Colak, E., Johnston, J. and McPhee, M. E.",2008,"Golden hamsters are nocturnal in captivity but diurnal in nature","Biology Letters","4"," 3 ","253-255"
"38647","Schnitzer, S. A.",2005,"A mechanistic explanation for global patterns of liana abundance and distribution","American Naturalist","166","2","262-276"
"63358","Possell, M. and Hewitt, C. N.",2011,"Isoprene emissions from plants are mediated by atmospheric CO2 concentrations","Global Change Biology","17"," 4 ","1595-1610"
"36579","Hokka, V., Mikola, J., Vestberg, M. and Setala, H.",2004,"Interactive effects of defoliation and an AM fungus on plants and soil organisms in experimental legume-grass communities","Oikos","106","1","73-84"
"59443","Meyer, J. L., Frumhoff, P. C., Hamburg, S. P. and de la Rosa, C.",2010,"Above the din but in the fray: environmental scientists as effective advocates","Frontiers in Ecology and the Environment","8"," 6 ","299-305"
"52710","Clark, R., Brown, S. M., Collins, S. C., Jiggins, C. D., Heckel, D. G. and Vogler, A. P.",2008,"Colour pattern specification in the Mocker swallowtail Papilio dardanus: the transcription factor invected is a candidate for the mimicry locus H","Proceedings of the Royal Society B-Biological Sciences","275"," 1639 ","1181-1188"
"68559","Mech, L. D.",2012,"Is science in danger of sanctifying the wolf?","Biological Conservation","150"," 1 ","143-149"
"58795","Ries, J. B.",2010,"Review: geological and experimental evidence for secular variation in seawater Mg/Ca (calcite-aragonite seas) and its effects on marine biological calcification","Biogeosciences","7"," 9 ","2795-2849"
"40870","Cowlishaw, G., Mendelson, S. and Rowcliffe, J. M.",2005,"Structure and operation of a bushmeat commodity chain in southwestern Ghana","Conservation Biology","19","1","139-149"
"39022","Pieterse, N. M., de Venterink, H., Schot, P. P. and Verkroost, A. W. M.",2005,"Is nutrient contamination of groundwater causing eutrophication of groundwater-fed meadows?","Landscape Ecology","20","6","743-753"
"59446","Metsaranta, J. M. and Lieffers, V. J.",2010,"Patterns of inter-annual variation in the size asymmetry of growth in Pinus banksiana","Oecologia","163"," 3 ","737-745"
"57892","Weeks, R., Russ, G. R., Bucol, A. A. and Alcala, A. C.",2010,"Shortcuts for marine conservation planning: The effectiveness of socioeconomic data surrogates","Biological Conservation","143"," 5 ","1236-1244"
"78666","Bird, T. J., Bates, A. E., Lefcheck, J. S., Hill, N. A., Thomson, R. J., Edgar, G. J., Stuart-Smith, R. D., Wotherspoon, S., Krkosek, M., Stuart-Smith, J. F., Pecl, G. T., Barrett, N. and Frusher, S.",2014,"Statistical solutions for error and bias in global citizen science datasets","Biological Conservation","173"," ","144-154"
"55347","Logue, D. M., Mishra, S., McCaffrey, D., Ball, D. and Cade, W. H.",2009,"A behavioral syndrome linking courtship behavior toward males and females predicts reproductive success from a single mating in the hissing cockroach, Gromphadorhina portentosa","Behavioral Ecology","20"," 4 ","781-788"
"55540","Kuosmanen, T., Bijsterbosch, N. and Dellink, R.",2009,"Environmental cost-benefit analysis of alternative timing strategies in greenhouse gas abatement: A data envelopment analysis approach","Ecological Economics","68"," 6 ","1633-1642"
"62055","Zitske, B. P., Betts, M. G. and Diamond, A. W.",2011,"Negative Effects of Habitat Loss on Survival of Migrant Warblers in a Forest Mosaic","Conservation Biology","25"," 5 ","993-1001"
"42786","Pagel, M. and Meade, A.",2006,"Bayesian analysis of correlated evolution of discrete characters by reversible-jump Markov chain Monte Carlo","American Naturalist","167","6","808-825"
"66385","Bazelet, C. S. and Samways, M. J.",2011,"Relative importance of management vs. design for implementation of large-scale ecological networks","Landscape Ecology","26"," 3 ","341-353"
"39561","Mainali, K. P.",2005,"Decimation of Nepal's medicinal plants","Frontiers in Ecology and the Environment","3","6","300-300"
"48921","Britton, A. and Fisher, J.",2007,"NP stoichiometry of low-alpine heathland: Usefulness for bio-monitoring and prediction of pollution impacts","Biological Conservation","138"," 1-2 ","100-108"
